Title,Description,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,RDataPath,Tags
2021-09-15.GSE101705,GSE101705,3.14,GRCh38,CSV,https://www.ncbi.nlm.nih.gov/geo/,NA,Homo sapiens,9606,FALSE,NCBI,Lucas Schiffer schiffer.lucas@gmail.com,matrix,Rda,tuberculosis/2021-09-15/2021-09-15.GSE101705.rda,tuberculosis
2021-09-15.GSE102272,GSE102272,3.14,GRCh38,CSV,https://www.ncbi.nlm.nih.gov/geo/,NA,Homo sapiens,9606,FALSE,NCBI,Lucas Schiffer schiffer.lucas@gmail.com,matrix,Rda,tuberculosis/2021-09-15/2021-09-15.GSE102272.rda,tuberculosis
2021-09-15.GSE102459,GSE102459,3.14,GRCh38,CSV,https://www.ncbi.nlm.nih.gov/geo/,NA,Homo sapiens,9606,FALSE,NCBI,Lucas Schiffer schiffer.lucas@gmail.com,matrix,Rda,tuberculosis/2021-09-15/2021-09-15.GSE102459.rda,tuberculosis
2021-09-15.GSE102633,GSE102633,3.14,GRCh38,CSV,https://www.ncbi.nlm.nih.gov/geo/,NA,Homo sapiens,9606,FALSE,NCBI,Lucas Schiffer schiffer.lucas@gmail.com,matrix,Rda,tuberculosis/2021-09-15/2021-09-15.GSE102633.rda,tuberculosis
2021-09-15.GSE102677,GSE102677,3.14,GRCh38,CSV,https://www.ncbi.nlm.nih.gov/geo/,NA,Homo sapiens,9606,FALSE,NCBI,Lucas Schiffer schiffer.lucas@gmail.com,matrix,Rda,tuberculosis/2021-09-15/2021-09-15.GSE102677.rda,tuberculosis
2021-09-15.GSE102678,GSE102678,3.14,GRCh38,CSV,https://www.ncbi.nlm.nih.gov/geo/,NA,Homo sapiens,9606,FALSE,NCBI,Lucas Schiffer schiffer.lucas@gmail.com,matrix,Rda,tuberculosis/2021-09-15/2021-09-15.GSE102678.rda,tuberculosis
2021-09-15.GSE103147,GSE103147,3.14,GRCh38,CSV,https://www.ncbi.nlm.nih.gov/geo/,NA,Homo sapiens,9606,FALSE,NCBI,Lucas Schiffer schiffer.lucas@gmail.com,matrix,Rda,tuberculosis/2021-09-15/2021-09-15.GSE103147.rda,tuberculosis
2021-09-15.GSE107104,GSE107104,3.14,GRCh38,CSV,https://www.ncbi.nlm.nih.gov/geo/,NA,Homo sapiens,9606,FALSE,NCBI,Lucas Schiffer schiffer.lucas@gmail.com,matrix,Rda,tuberculosis/2021-09-15/2021-09-15.GSE107104.rda,tuberculosis
2021-09-15.GSE107646,GSE107646,3.14,GRCh38,CSV,https://www.ncbi.nlm.nih.gov/geo/,NA,Homo sapiens,9606,FALSE,NCBI,Lucas Schiffer schiffer.lucas@gmail.com,matrix,Rda,tuberculosis/2021-09-15/2021-09-15.GSE107646.rda,tuberculosis
2021-09-15.GSE107731,GSE107731,3.14,GRCh38,CSV,https://www.ncbi.nlm.nih.gov/geo/,NA,Homo sapiens,9606,FALSE,NCBI,Lucas Schiffer schiffer.lucas@gmail.com,matrix,Rda,tuberculosis/2021-09-15/2021-09-15.GSE107731.rda,tuberculosis
